17β-HSD1,17β-HSD1+PBRM,17β-HSD1+CC156,17β-HSD1+INH-Mess,17β-HSD1+8,17β-HSD1+9,17β-HSD1+10,17β-HSD1+11,17β-HSD1+34,17β-HSD1+36
1.2,1.061,1.049,0.922,0.872,0.852,1.009,1.065,0.858,0.98
1.352,1.15,1.059,1.267,0.989,0.951,1.187,1.318,1.025,1.056
1.218,0.893,1.054,1.315,1.209,1.087,1.049,1.3,1.02,1.123
1.086,1.048,1.081,1.142,1.309,1.505,1.116,1.059,0.977,1.336
1.277,1.099,1.099,1.249,1.39,1.491,1.164,1.196,1.071,1.067
1.592,1.189,1.087,1.264,1.363,1.416,1.188,1.37,1.351,1.141
1.688,1.166,1.187,1.396,1.192,1.234,1.246,1.216,1.282,1.236
1.729,1.14,1.183,1.357,1.31,1.115,1.145,1.276,1.334,1.185
1.584,1.135,1.205,1.299,1.338,1.436,1.095,1.414,1.51,1.041
1.479,1.351,1.182,1.249,1.162,1.241,1.289,1.591,1.351,1.241
1.706,1.36,1.161,1.176,1.394,1.219,1.148,1.453,1.185,1.122
1.37,1.337,1.351,1.347,1.343,1.105,1.118,1.452,1.349,1.038
1.35,1.389,1.208,1.213,1.292,0.994,1.252,1.363,1.384,1.254
1.307,1.113,1.082,1.212,1.182,1.056,1.259,1.412,1.227,1.696
1.292,1.245,1.123,1.196,1.378,1.579,1.341,1.437,1.396,1.5
1.34,1.103,1.016,1.197,1.127,1.453,1.196,1.36,1.288,1.558
1.69,1.135,1.04,1.087,1.274,1.402,1.311,1.584,1.372,1.435
1.554,1.105,1.151,1.202,1.441,1.201,1.345,1.655,1.331,1.331
1.573,1.195,0.987,1.081,1.319,1.058,1.389,1.413,1.198,1.532
1.636,1.244,1.122,1.217,1.274,1.295,1.165,1.278,1.369,1.344
1.346,1.185,1.136,1.147,1.352,1.24,1.283,1.385,1.22,1.598
1.584,1.289,1.003,1.223,1.195,1.349,1.333,1.428,1.25,1.296
1.396,1.153,1.122,1.25,1.213,1.34,1.293,1.342,1.195,1.241
1.281,0.973,1.094,1.324,1.213,1.295,1.298,1.296,1.447,1.471
1.35,1.051,1.218,1.596,1.431,1.33,1.366,1.689,1.203,1.221
1.439,1.156,1.131,1.334,1.191,1.371,1.42,1.391,1.399,1.369
1.51,1.104,1.232,1.51,1.284,1.628,1.181,1.412,1.402,1.113
1.256,1.15,1.236,1.303,1.281,1.489,1.201,1.294,1.474,1.379
1.303,1.202,1.15,1.414,1.282,1.4,1.118,1.432,1.252,1.232
1.321,1.235,1.235,1.169,1.225,1.539,1.082,1.401,1.341,1.404
1.212,1.302,1.277,1.232,1.501,1.587,1.166,1.518,1.405,1.396
1.245,1.32,1.36,1.215,1.385,1.436,1.222,1.348,1.377,1.559
1.368,1.357,1.305,1.438,1.296,1.304,1.159,1.603,1.411,1.271
1.292,1.206,1.324,1.28,1.394,1.518,1.306,1.378,1.416,1.556
1.327,1.449,1.474,1.274,1.518,1.303,1.358,1.412,1.31,1.366
1.308,1.216,1.287,1.406,1.452,1.184,1.186,1.328,1.259,1.223
