4a Site1,4a Site2,4b Site1,4b Site2,4b Site3,4e Site1,4e Site2,4a Site3,4g Site1,4g Site2,4g Site3,5g Site2,5g Site3
21.551347,45.51516,45.470228,116.809577,-37.31029,14.821107,135.722125,38.951264,13.599817,58.725407,74.825403,52.983193,0.402954
44.058216,75.662859,31.930161,43.55775,8.397982,-7.090413,57.224487,31.278408,20.94596,52.233928,6.016825,6.327047,75.138971
23.127074,-35.554596,-21.954779,-15.918834,-72.173459,139.934261,66.74792,-29.030135,-29.629308,22.768574,-29.676152,94.626553,40.820722
17.901339,22.111324,-50.590086,18.844911,-50.270065,18.13771,15.029515,8.442436,-98.109739,39.888144,-41.538439,10.561171,-24.530243
-19.330798,-18.448171,10.048038,-4.965464,28.451755,27.414256,-23.70641,-71.809223,-52.202619,45.597376,20.612555,22.751366,17.796657
-6.299801,50.56762,-62.57976,24.168158,12.094356,1.776726,16.454672,-28.402043,-44.211654,78.082256,60.733963,35.89063,17.210629
27.358808,38.865702,-22.154105,15.388493,-46.67431,-1.676346,22.912691,13.750148,13.050356,-2.199756,-28.990222,23.353885,-56.887736
25.277596,38.425464,-47.319371,-23.321381,-17.883175,46.28952,32.889507,36.58373,-48.255534,27.39179,70.786303,5.11699,-31.599624
-32.950691,11.094141,-21.757365,97.074152,2.984154,-21.496616,68.922103,-41.931355,6.296694,73.405982,-38.106877,-105.058186,-7.550966
-44.933673,17.743599,-42.237275,39.267222,-93.857929,-27.164501,107.082516,-17.200591,-22.439232,26.981666,-56.137754,32.729616,38.008887
5.314404,68.316238,-124.202086,6.768241,-19.501205,2.659353,8.435505,-52.725551,-102.023364,67.700813,-8.743815,12.075475,-9.876436
-68.205103,-4.383021,-26.827272,-1.398628,12.964555,11.112305,24.290526,-28.143206,-6.830859,53.53839,6.581821,19.386963,70.01027
1.518845,28.223271,-49.538486,38.352091,-48.355197,54.634444,97.879582,-16.105971,-3.501828,80.793711,-32.578568,-24.708776,33.327594
-30.634781,111.309948,14.446594,44.549361,-62.064715,115.021857,21.892639,-3.653354,-17.272291,53.664582,23.225303,-49.462484,26.828467
0.099663,11.155086,-61.223435,-14.9853,-19.039935,101.270036,28.486171,-17.146816,13.83093,76.935773,-38.248604,52.247551,14.436078
-25.935563,-8.722783,-25.161203,-24.757054,17.674767,37.849713,79.124774,75.249389,-63.361529,26.492433,-30.862548,-49.10972,32.322599
6.083267,2.783394,-64.878462,7.812671,8.680002,48.226854,32.554907,5.644941,-35.243418,32.454288,-23.40766,62.376371,-47.436481
8.638894,-42.078579,-13.514255,-51.300394,-52.894524,-19.181662,-37.233332,-39.564299,-10.632393,51.514538,-11.380224,11.894552,33.457849
40.018638,52.610353,-21.591499,-8.64463,-40.558778,20.521257,4.219067,-10.696684,-21.045862,-13.221241,-49.920647,61.176352,-55.531172
16.476182,6.336129,-56.180774,-28.045216,-83.127068,30.852988,11.000931,-28.144162,0.486843,41.764055,-42.462413,2.809445,-51.600817
-20.286798,33.020479,5.414784,12.003536,-15.176739,-39.57123,34.867232,26.594486,-8.242632,-18.920913,65.079461,1.45312,-27.158287
-5.490069,-32.598644,-21.454313,10.748547,-28.80189,-53.474577,62.764029,-12.0456,-58.256967,44.542191,2.106546,56.177428,-39.548047
-50.029631,3.617982,-59.518887,-0.119739,-13.914102,53.537673,41.615875,53.580932,-25.902342,147.149671,-26.454193,5.159054,-78.91063
-29.67902,7.296909,22.284599,-3.341459,-1.939246,8.730192,-6.231208,-3.403599,-32.081448,48.437891,-36.054584,-34.158597,9.406801
-0.759303,-22.368488,-2.856767,13.424152,-42.152908,-17.562198,33.62491,13.265217,-19.174014,5.453263,-102.254955,-15.784755,23.763292
-22.055398,4.690614,-61.113734,52.360837,-82.440421,108.225414,-53.636858,-4.614134,-85.519219,-49.74785,-54.247981,-54.595248,47.512244
-33.268322,71.096286,-139.570503,4.456872,-21.523623,4.400707,15.990773,2.156258,-45.434856,11.713151,-25.854303,59.526535,-3.687053
-28.506725,38.731145,-77.571274,3.782653,-48.464659,2.662938,15.952772,-31.742546,-11.368035,9.538729,18.385792,8.875743,-11.732032
-79.528684,72.413415,-24.494632,-61.1362,-83.913617,68.911826,24.495588,46.088282,-66.399697,38.590613,39.092991,10.216533,41.753061
26.673356,8.542577,55.11101,-44.532153,-9.964866,-95.08854,23.055613,-75.825379,-47.369083,23.339784,-49.489491,-16.133217,13.554407
-21.291554,-1.585048,-36.646348,-44.601702,-20.177575,7.814822,-19.899618,-47.254602,-55.150923,-44.435119,-62.280532,-2.488946,-19.092754
-36.042873,42.443054,-44.03814,-39.148678,-80.450746,-49.20771,-15.917161,-61.305173,23.207617,60.467478,-7.479027,-49.152262,-95.904247
-30.665612,-65.425055,-8.549269,54.74056,-33.368463,18.075809,-4.641858,53.051069,-66.942227,-7.357137,-18.948876,-26.854518,-10.039912
-27.263208,-3.526206,-28.215145,5.961855,-67.957499,43.193275,-10.955043,-11.836475,-65.340449,24.589515,-36.384882,1.559475,-57.85473
-29.554023,11.042278,-114.634199,21.957169,-9.605171,-4.317057,-10.834348,-52.998489,-39.986851,39.439302,-4.116775,1.434956,-18.40778
-68.370013,3.255658,-55.804588,-16.551467,-53.490112,-38.479717,67.224008,6.920723,-36.011086,-22.813506,-4.389474,-83.878245,-112.789597
21.3905,14.489853,-81.605116,-0.830764,-41.843403,48.902268,26.981905,-32.249943,-53.924136,46.807194,-39.656314,-9.233526,41.266696
38.24,23.38137,4.51232,48.31863,-27.173583,39.68356,49.88169,21.114694,-95.269702,127.470889,8.890083,-24.675794,-66.793808
47.182185,-28.464661,-58.32795,-57.994545,39.187396,-1.303267,3.473865,24.417196,28.943856,20.431154,-73.365591,34.074469,-29.234241
26.956332,10.885255,-29.309048,-2.131402,-57.712525,6.922635,16.898973,-20.027483,4.357448,54.060366,39.557607,-72.846483,-26.416192
-31.750911,36.196789,-55.753681,-17.060059,-29.458184,-15.370807,23.628496,36.520873,33.988429,7.890346,11.212446,-48.155871,-132.367282
8.843478,1.752587,-27.606651,33.623237,-44.122985,2.311369,50.545154,-25.148058,26.988358,76.143488,-17.322481,23.327595,-43.707125
-9.741162,22.051813,-29.487103,32.785064,19.072917,-9.840108,-78.569577,23.664824,-48.302139,39.904396,-139.915858,32.379003,-20.461985
31.408663,-47.414493,47.358806,-101.119466,-0.608494,27.956069,15.764918,-1.033675,-75.839241,46.630573,12.298462,79.681883,22.085512
-72.685875,-55.261102,-3.457613,-24.112232,-16.555769,40.402233,76.505573,16.760831,54.647111,-37.011301,-48.425463,-47.1786,90.750212
-131.514769,-7.341363,-56.580143,66.979989,-50.945718,13.264978,43.045812,-13.356515,20.339139,45.305557,-7.826055,87.562669,6.354771
-40.815942,21.365405,-79.251205,23.536481,-37.233571,-19.870221,59.350631,-40.464134,12.117061,7.940775,-11.902439,-15.779736,-44.748209
-123.879914,31.971508,-40.180441,34.256109,-70.051139,-26.961112,-47.22401,-22.740611,-15.74771,6.727372,58.198412,-18.212995,-34.739367
24.697543,-48.759346,12.453334,-7.843741,-76.75724,-29.690014,6.453239,-33.882313,4.035037,53.511383,10.160129,16.227622,16.376519
-43.737,-22.853658,-13.800577,-31.917255,-74.08761,-52.248746,48.254339,9.009105,7.812671,32.317341,-43.248006,4.961879,-2.271217
-68.399649,-35.38634,-26.922872,14.366768,5.50656,58.577466,44.793858,24.904756,-50.879276,53.777629,-6.352381,-7.289739,48.439564
-3.361535,-15.574913,-43.181564,4.078535,-16.26634,21.414878,57.430266,-11.90459,-23.665302,-4.645204,34.390188,-18.503858,34.973587
-13.740588,29.81047,-58.059314,-22.393583,-32.397406,-45.191554,-4.836165,47.412342,-22.186131,-4.926268,-31.31617,-24.18441,30.691902
