Time (ns),PTP1B-pNPP,PTP1B-pNPP-4a,PTP1B-pNPP-4b,PTP1B-pNPP-4e,PTP1B-pNPP-4g,PTP1B-pNPP-5g
0,0.354,0.374,0.382,0.362,0.362,0.368
0.1,1.201,1.131,1.128,1.452,1.609,1.198
0.2,1.472,1.269,1.431,1.904,1.394,1.544
0.3,1.911,1.458,1.387,1.623,1.728,1.485
0.4,1.989,1.453,1.432,1.759,1.335,1.76
0.5,1.766,1.524,1.751,1.715,1.461,2.043
0.6,1.972,1.637,1.944,2.067,1.128,2.074
0.7,1.931,1.84,2.254,2.032,1.431,1.907
0.8,1.972,2.179,2.101,2.278,1.811,2.084
0.9,1.922,2.047,1.907,2.392,1.821,2.049
1,2.056,2.204,2.171,2.033,1.863,1.968
1.1,2.202,1.97,2.424,2.119,1.779,2.097
1.2,1.995,2.217,2.088,1.995,2.148,2.198
1.3,2.372,2.207,2.595,1.967,1.793,2.241
1.4,2.457,2.36,2.698,2.073,1.611,2.201
1.5,2.486,2.315,2.52,1.852,1.383,2.103
1.6,2.709,2.565,2.192,2.062,1.561,2.376
1.7,2.537,2.326,2.254,1.941,1.387,2.179
1.8,2.333,2.55,2.958,2.355,1.49,2.456
1.9,2.135,2.003,2.707,2.294,1.842,2.632
2,2.251,2.294,2.782,2.263,2.133,2.57
2.1,2.204,2.326,2.719,2.125,1.897,2.466
2.2,2.313,2.26,2.04,2,2.268,2.381
2.3,2.136,2.208,2.26,2.6,2.101,2.768
2.4,2.299,2.015,2.279,2.237,2.173,2.443
2.5,2.199,1.97,2.292,2.391,1.902,1.814
2.6,2.15,2.363,2.168,2.336,1.902,1.965
2.7,1.973,2.606,1.864,2.065,2.437,2.274
2.8,2.315,2.488,1.877,1.975,2.091,2.29
2.9,2.15,2.321,1.737,2.009,2.31,1.968
3,2.297,2.462,1.888,2.098,2.342,2.084
3.1,2.304,2.047,1.855,2.111,2.159,2.502
3.2,2.221,2.355,1.648,2.133,2.225,2.34
3.3,2.333,2.423,1.797,2.313,2.429,2.479
3.4,2.258,2.168,1.812,1.971,2.592,2.305
3.5,2.078,2.079,1.675,1.72,2.644,2.412
3.6,2.424,2.221,1.661,1.883,2.105,2.275
3.7,2.103,2.022,1.435,1.726,2.009,2.503
3.8,2.136,2.053,1.812,2.047,1.851,2.379
3.9,2.136,2.055,2.29,2.312,2.337,2.446
4,2.176,1.768,2.369,1.9,2.271,2.649
4.1,2.248,1.911,2.654,2.266,2.153,2.71
4.2,1.715,2.176,2.071,2.285,2.213,2.257
4.3,1.889,1.83,1.691,2.225,1.984,2.619
4.4,1.634,1.519,1.787,2.071,1.78,2.766
4.5,1.768,1.982,1.772,2.019,2.338,2.483
4.6,1.68,1.968,1.792,2.291,2.275,2.704
4.7,2.082,1.812,1.662,1.864,2.139,2.525
4.8,1.93,2.204,1.761,2.142,2.016,2.561
4.9,2.255,1.872,2.009,2.652,2.123,2.74
5,1.997,2.018,1.745,2.631,1.804,2.726
5.1,1.887,2.256,1.586,2.329,1.909,2.615
5.2,2.069,2.367,1.919,2.194,2.35,2.718
5.3,1.968,2.379,2.113,2.062,2.017,3.135
5.4,1.889,2.145,2.221,2.087,1.979,2.998
5.5,1.814,1.735,2.406,1.929,1.799,2.65
5.6,1.836,2.002,2.265,2.348,1.62,3.451
5.7,1.814,1.903,1.96,2.39,1.895,3.073
5.8,1.72,2.295,2.325,2.189,2.072,3.091
5.9,1.925,2.139,2.277,2.541,2.006,2.573
6,1.822,1.871,2.225,2.591,2.22,2.448
6.1,1.653,1.678,2.311,2.613,1.933,2.821
6.2,1.831,2.163,2.028,2.457,2.028,2.629
6.3,2.143,2.316,1.858,2.279,2.295,2.82
6.4,2.281,1.814,1.661,2.079,2.151,2.951
6.5,2.027,1.657,1.75,2.183,2.396,2.659
6.6,1.804,1.677,1.949,2.476,2.147,2.678
6.7,2.215,1.889,1.766,2.343,2.026,2.458
6.8,2.077,2.286,1.695,2.082,2.21,2.595
6.9,1.969,2.207,1.79,2.138,1.96,2.393
7,2.235,2.347,1.854,2.159,2.419,2.402
7.1,2.266,2.437,1.871,2.221,2.124,2.523
7.2,2.259,2.466,2.264,2.277,2.379,2.439
7.3,2.373,2.372,2.406,2.319,2.458,2.715
